region,highest_match,similarity
Addu Atoll,[''],0.0
Alif Alif Atoll,[''],0.0
Haa Dhaalu Atoll,[''],0.0
Baa Atoll,[''],0.0
Faafu Atoll,[''],0.0
Meemu Atoll,[''],0.0
Gaafu Dhaalu Atoll,[''],0.0
Shaviyani Atoll,[''],0.0
Kolhumadulhu Atoll,[''],0.0
Vaavu Atoll,[''],0.0
Haa Alif Atoll,[''],0.0
Raa Atoll,[''],0.0
Laamu Atoll,[''],0.0
Noonu Atoll,[''],0.0
Gnaviyani Atoll,[''],0.0
Lhaviyani Atoll,[''],0.0
Dhaalu Atoll,[''],0.0
Gaafu Alif Atoll,[''],0.0
Kaafu Atoll,[''],0.0
Altai Republic,['Altay'],42.10526315789473
Jewish Autonomous Oblast,['Bashkortostan'],32.432432432432435
Oryol Oblast,['Buryat'],44.44444444444444
Chechen Republic,['Chechnya'],50.0
Capital Governorate,['Al Farwaniyah'],31.25
Afyonkarahisar Province,['Ankara'],41.379310344827594
Kars Province,['Kayseri'],50.0
Muğla Province,['Mardin'],50.0
Uşak Province,['Artvin' 'Mardin'],42.10526315789473
Kahramanmaraş Province,['Karaman'],48.275862068965516
Muş Province,['Artvin' 'Mardin' 'Mersin'],44.44444444444444
Şırnak Province,['Artvin' 'Mardin' 'Sirnak'],38.095238095238095
Van Province,['Artvin' 'Mardin'],44.44444444444444
Amoron'i Mania,['Antsiranana'],48.0
Anosy,['Antsiranana'],37.5
Androy,['Antananarivo'],44.44444444444444
Diana Region,['Antsiranana'],43.47826086956522
Bongolava,['Toliary'],37.5
Sofia Region,['Toamasina'],38.095238095238095
Vatovavy-Fitovinany,['Toamasina'],35.71428571428571
Itasy,['Toliary'],33.333333333333336
Haute Matsiatra,['Toamasina'],41.666666666666664
Sava Region,['Toamasina'],40.0
Melaky,['Toliary'],46.15384615384615
Menabe,['Mahajanga'],40.0
Brong-Ahafo Region,['Ahafo'],43.47826086956522
Tombouctou Region,['Timbuktu'],48.0
Gao Region,['Gao'],46.15384615384615
Lower Shebelle,['Shabeellaha Dhexe' 'Shabeellaha Hoose'],45.16129032258065
Lower Juba,['Jubbada Dhexe' 'Jubbada Hoose'],34.78260869565217
Middle Juba,['Mudug'],37.5
Middle Shebelle,['Shabeellaha Dhexe' 'Shabeellaha Hoose'],43.75
Mityana District,['Lake Victoria' 'Nakapiripirit'],41.379310344827594
Sheema District,['Lake Victoria'],42.85714285714286
