id,name,type,path,description,real_time_cluster,audience_size_lower_bound,audience_size_upper_bound
6002714895372,Frequent Travelers,behaviors,"['Travel', 'Frequent Travelers']",People whose activities on Facebook suggest they are frequent travelers,False,1723113232,2026381161
6002714898572,Small business owners,behaviors,"['Digital activities', 'Small business owners']",People who list themselves as small business owners or own small business Pages on Facebook,False,41762017,49112132
6002764392172,Facebook Payments users (90 days),behaviors,"['Digital activities', 'Facebook Payments users (90 days)']",People who have used Facebook Payments in the past 90 days,False,548656,645220
6003808923172,Technology early adopters,behaviors,"['Digital activities', 'Technology early adopters']",People who are likely to adopt new technologies earlier than others,False,107879688,126866514
6003986707172,Facebook access (OS): Windows 7,behaviors,"['Digital activities', 'Operating System Used', 'Facebook access (OS): Windows 7']",People who primarily access Facebook using Windows 7,False,23300,27401
6003966451572,Facebook access (OS): Mac OS X,behaviors,"['Digital activities', 'Operating System Used', 'Facebook access (OS): Mac OS X']",People who primarily access Facebook using Mac OS X,False,2093488,2461942
6003966450972,Facebook access (OS): Windows Vista,behaviors,"['Digital activities', 'Operating System Used', 'Facebook access (OS): Windows Vista']",People who primarily access Facebook using Windows Vista,False,1128,1327
6003966466972,Facebook access (OS): Windows XP,behaviors,"['Digital activities', 'Operating System Used', 'Facebook access (OS): Windows XP']",People who primarily access Facebook using Windows XP,False,376,443
6004386303972,Facebook access (mobile): iPhone 4S,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPhone 4S']",People who primarily access Facebook using an iPhone 4S mobile device,False,7646,8992
6004383941372,Facebook access (mobile): iPhone 4,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPhone 4']",People who primarily access Facebook using an iPhone 4 mobile device,False,3170,3729
6004386044572,Facebook access (mobile): Android devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Operating System', 'Facebook access (mobile): Android devices']",People who primarily access Facebook using any Android mobile device,False,1725067715,2028679633
6004383149972,Facebook access (mobile): feature phones,behaviors,"['Mobile Device User', 'Facebook access (mobile): feature phones']",People who primarily access Facebook using a feature phone,False,3528666,4149712
6004383890572,Facebook access (mobile): iPod Touch,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPod Touch']",People who primarily access Facebook using an iPod Touch mobile device,False,52860,62164
6004385895772,Facebook access (mobile): Windows phones,behaviors,"['Mobile Device User', 'All Mobile Devices by Operating System', 'Facebook access (mobile): Windows phones']",People who primarily access Facebook using a Windows mobile device,False,20198,23753
6004384041172,Facebook access (mobile): Apple (iOS) devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Operating System', 'Facebook access (mobile): Apple (iOS) devices']",People who primarily access Facebook using an Apple (iOS) mobile device,False,320395576,376785198
6004383806772,Facebook access (mobile): iPad 3,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPad 3']",People who primarily access Facebook using an iPad 3 mobile device,False,75418,88692
6004383808772,Facebook access (mobile): iPad 2,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPad 2']",People who primarily access Facebook using an iPad 2 mobile device,False,2269,2669
6004383767972,Facebook access (mobile): iPad 1,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPad 1']",People who primarily access Facebook using an iPad 1 mobile device,False,878380,1032976
6004386010572,Facebook access (mobile): Samsung Android mobile devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Facebook access (mobile): Samsung Android mobile devices']",People who primarily access Facebook using a Samsung Android mobile device,False,505264721,594191312
6004385886572,Facebook access (mobile): HTC Android mobile devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Facebook access (mobile): HTC Android mobile devices']",People who primarily access Facebook using an HTC Android mobile device,False,588619,692216
6004385868372,Facebook access(mobile): LG Android mobile devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Facebook access(mobile): LG Android mobile devices']",People who primarily access Facebook using an LG Android mobile device,False,8583005,10093614
6004385865172,Facebook access (mobile): Sony Android mobile devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Facebook access (mobile): Sony Android mobile devices']",People who primarily access Facebook using a Sony Android mobile device,False,3746893,4406347
6004382299972,Facebook access (mobile): all mobile devices,behaviors,"['Mobile Device User', 'Facebook access (mobile): all mobile devices']",People who primarily access Facebook using mobile devices,False,1953832069,2297706514
6004383049972,Facebook access (mobile): smartphones and tablets,behaviors,"['Mobile Device User', 'Facebook access (mobile): smartphones and tablets']",People who primarily access Facebook using a smartphone or tablet device,False,1901097677,2235690869
6004385879572,Facebook access (mobile): Motorola Android mobile devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Facebook access (mobile): Motorola Android mobile devices']",People who primarily access Facebook using a Motorola Android mobile device,False,68050164,80026994
6004854404172,Facebook access: older devices and OS,behaviors,"['Digital activities', 'Facebook access: older devices and OS']","People who primarily access Facebook on older devices or operating systems before Windows 7, Mac OS X or Windows NT 6.2.",False,681690181,801667653
6004883585572,Facebook access (mobile): iPhone 5,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPhone 5']",People who primarily access Facebook using an iPhone 5 mobile device,False,41091,48324
6004948896972,Facebook Payments users (30 days),behaviors,"['Digital activities', 'Facebook Payments users (30 days)']",People who have used Facebook Payments in the past 30 days,False,227877,267984
6006298077772,Facebook access (OS): Windows 8,behaviors,"['Digital activities', 'Operating System Used', 'Facebook access (OS): Windows 8']",People who primarily access Facebook using Facebook using Windows 8,False,26542,31214
6007078565383,New smartphone and tablet users,behaviors,"['Mobile Device User', 'New smartphone and tablet users']",People who are new smartphone or tablet users,False,125655070,147770363
6007481031783,Owns: Galaxy S III devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy S III devices']",People who are likely to own a Galaxy S III mobile device,False,87436,102825
6007847947183,Console gamers,behaviors,"['Digital activities', 'Console gamers']",People who have liked Pages related to console gaming or gaming systems,False,49005304,57630238
6008261969983,Returned from travels 1 week ago,behaviors,"['Travel', 'Returned from travels 1 week ago']",People whose activities on Facebook suggest they returned from traveling within the past week,False,121334488,142689359
6008297697383,Returned from travels 2 weeks ago,behaviors,"['Travel', 'Returned from travels 2 weeks ago']",People whose activities on Facebook suggest they returned from traveling within the past 2 weeks,False,178960596,210457662
6008868254383,Owns: Kindle Fire,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Amazon', 'Owns: Kindle Fire']",People who are likely to own a Kindle Fire,False,6534,7684
6010095777183,Facebook access (mobile): iPhone 5S,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPhone 5S']",People who primarily access Facebook using an iPhone 5S mobile device,False,337331,396702
6010095794383,Facebook access (mobile): iPhone 5C,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Facebook access (mobile): iPhone 5C']",People who primarily access Facebook using an iPhone 5C mobile device,False,17104,20115
6010231666183,Owns: LG G2 devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'LG', 'Owns: LG G2 devices']",People who are likely to own LG G2 devices,False,15763,18538
6011191254383,Owns: iPad 4,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Owns: iPad 4']",People who are likely to own an iPad 4,False,309948,364499
6011191259183,Owns: iPad Mini 1,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Owns: iPad Mini 1']",People who are likely to own an iPad Mini 1,False,169338,199142
6011244513583,Owns: iPad Air,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Owns: iPad Air']",People who are likely to own an iPad Air,False,817961,961923
6011244510983,Owns: iPad Mini 2,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Apple', 'Owns: iPad Mini 2']",People who are likely to own an iPad Mini 2,False,450460,529741
6011390261383,Owns: Huawei,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Owns: Huawei']",People who are likely to own a Huawei mobile device,False,59943815,70493927
6015852294783,Owns: Galaxy Y devices,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Y devices']",People who are likely to own a Galaxy Y mobile device,False,2612,3072
6013016790183,Owns: Galaxy S4,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy S4']",People who are likely to own a Galaxy S4 mobile device,False,172920,203354
6013017211983,Owns: Galaxy S III Mini,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy S III Mini']",People who are likely to own a Galaxy S III Mini mobile device,False,45596,53622
6013017235183,Galaxy Note II,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Galaxy Note II']",,False,3329,3915
6013017236583,Owns: Galaxy Grand,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Grand']",People who are likely to own a Galaxy Grand mobile device,False,87000,102312
6013017297383,Curve 9220,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'BlackBerry', 'Curve 9220']",,False,181,214
6013017308783,Owns: Galaxy S 4 Mini,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy S 4 Mini']",People who are likely to own a Galaxy S 4 Mini mobile device,False,28283,33261
6013279353983,Owns: Galaxy Note 3,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Note 3']",People who are likely to own a Galaxy Note 3 mobile device,False,258774,304319
6013516370183,Commuters,behaviors,"['Travel', 'Commuters']",People likely commute from their home to their workplace on weekdays,False,302913340,356226089
6014808618583,Owns: Galaxy S5,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy S5']",People who are likely to own a Samsung Galaxy S5 mobile device,False,360652,424127
6014809400783,Owns: Nexus 5,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Google', 'Owns: Nexus 5']",People who are likely to own a Nexus 5 mobile device,False,252039,296399
6014809859183,Owns: HTC One,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'HTC', 'Owns: HTC One']",People who are likely to own an HTC One mobile device,False,123075,144737
6015235495383,Facebook access (network type): WiFi,behaviors,"['Mobile Device User', 'Network Connection', 'Facebook access (network type): WiFi']",People who primarily access Facebook using a WiFi network,False,976226546,1148042419
6015441244983,Owns: Galaxy Grand 2,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Grand 2']",People who are likely to own a Samsung Galaxy Grand 2 mobile device,False,79671,93694
6015547847583,Facebook access (browser): Firefox,behaviors,"['Digital activities', 'Internet Browser Used', 'Facebook access (browser): Firefox']",People who primarily access Facebook using Firefox,False,12147081,14284968
6015547900583,Facebook access (browser): Chrome,behaviors,"['Digital activities', 'Internet Browser Used', 'Facebook access (browser): Chrome']",People who primarily access Facebook using Google Chrome,False,264319974,310840290
6015559470583,Lives abroad,behaviors,"['Expats', 'Lives abroad']",People living outside their home country,False,220298698,259071269
6015593608983,Facebook access (browser): Safari,behaviors,"['Digital activities', 'Internet Browser Used', 'Facebook access (browser): Safari']",People who primarily access Facebook using Safari,False,38321286,45065833
6015593652183,Facebook access (browser): Opera,behaviors,"['Digital activities', 'Internet Browser Used', 'Facebook access (browser): Opera']",People who primarily access Facebook using Opera,False,7065260,8308746
6015593776783,Facebook access (browser): Internet Explorer,behaviors,"['Digital activities', 'Internet Browser Used', 'Facebook access (browser): Internet Explorer']",People who primarily access Facebook using Internet Explorer,False,286573,337011
6015683810783,Facebook Page admins,behaviors,"['Digital activities', 'Facebook page admins', 'Facebook Page admins']",People who are an admin of at least 1 Page on Facebook,False,572081482,672767823
6016286626383,Facebook access (mobile): tablets,behaviors,"['Mobile Device User', 'Facebook access (mobile): tablets']",People who primarily access Facebook using a tablet,False,1775495892,2087983169
6016916298983,Lived in India (Formerly Expats - India),behaviors,"['Expats', 'Lived in India (Formerly Expats - India)']",People who used to live in India who now live abroad,False,14811371,17418173
6016925328983,Owns: Galaxy Tab S,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Tab S']",People who are likely to own a Samsung Galaxy Tab S mobile device,False,62972,74056
6016925394583,Owns: Galaxy Tab Pro,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Tab Pro']",People who are likely to own a Samsung Galaxy Tab Pro mobile device,False,11659,13711
6016925404783,Owns: Galaxy Tab 4,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Tab 4']",People who are likely to own a Samsung Galaxy Tab 4 mobile device,False,271136,318856
6016925643983,Owns: Galaxy Tab 3,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Tab 3']",People who are likely to own a Galaxy Tab 3 mobile device,False,401441,472095
6016925657183,Owns: Galaxy Tab 2,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Owns: Galaxy Tab 2']",People who are likely to own a Galaxy Tab 2 mobile device,False,52954,62274
6016925667383,Galaxy Tab,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Samsung', 'Galaxy Tab']",People who are likely to own a Samsung Galaxy Tab,False,246,290
6016926254583,Owns: Xperia M,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Sony', 'Owns: Xperia M']",People who are likely to own a Sony Xperia M mobile device,False,8545,10050
6016926310383,Owns: Xperia SL,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Sony', 'Owns: Xperia SL']",People who are likely to own a Sony Xperia SLs,False,408,480
6016926471583,Xperia T,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Sony', 'Xperia T']",People who are likely to own a Sony Xperia T,False,463,545
6016926528983,Owns: Xperia Z,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Sony', 'Owns: Xperia Z']",People who are likely to own a Sony Xperia Z mobile device,False,6964,8190
6016926651383,Owns: Xperia Z Ultra,behaviors,"['Mobile Device User', 'All Mobile Devices by Brand', 'Sony', 'Owns: Xperia Z Ultra']",People who are likely to own a Sony Xperia Z Ultra mobile device,False,2138,2515
6017253486583,Facebook access (network type): 2G,behaviors,"['Mobile Device User', 'Network Connection', 'Facebook access (network type): 2G']",People who primarily access Facebook using a 2G network,False,7239158,8513250
