name,key
Afrikaans,36
Albanian,87
Armenian,68
Azerbaijani,53
Arabic,28
Bisaya,56
Basque,59
Belarusian,54
Bengali,45
Bosnian,55
Bulgarian,37
Bahasa Indonesia,25
Basa Jawa,71
Bahasa Melayu,41
Catalan,1
Czech,2
Cebuano,56
Cymraeg,3
Croatian,38
Chinese (All),1004
Danish,4
Deutsch,5
Dutch,14
English (US),6
Euskara,59
Español,23
Español (España),7
English (UK),24
Esperanto,57
Estonian,58
English (All),1001
Finnish,8
French (France),9
Frisian,63
Flemish,83
Faroese,62
French (Canada),44
Filipino,26
French (All),1003
German,5
Guarani,66
Galician,65
Georgian,72
Greek,39
Gujarati,67
Gaeilge,64
Hungarian,30
Hrvatski,38
Hindi,46
Hebrew,29
Italian,10
Icelandic,69
Indonesian,25
Irish,64
Japanese,11
Javanese,71
Japanese (Kansai),70
Korean,12
Kurdî (Kurmancî),76
Kannada,75
Kazakh,73
Kiswahili,88
Khmer,74
Latvian,78
Lithuanian,40
Magyar,30
Macedonian,79
Malay,41
Marathi,81
Mongolian,80
Malayalam,50
Norwegian (bokmal),13
Norwegian (nynorsk),84
Nederlands,14
Northern Kurdish (Kurmanji),76
Nepali,82
O'zbek,91
Polish,15
Portuguese (Brazil),16
Portuguese (Portugal),31
Punjabi,47
Persian,60
Pashto,85
Portuguese (All),1005
Romanian,32
Russian,17
Spanish,23
Spanish (Spain),7
Suomi,8
Slovak,33
Slovenian,34
Swedish,18
Simplified Chinese (China),20
Shqip,87
Serbian,42
Swahili,88
Sinhala,86
Spanish (All),1002
Thai,35
Turkish,19
Traditional Chinese (Hong Kong),21
Traditional Chinese (Taiwan),22
Tamil,48
Telugu,49
Tiếng Việt,27
Tajik,89
Ukrainian,52
Uzbek,91
Urdu,90
Vlaams,83
Vietnamese,27
Welsh,3
