,id,sub_targeting_type,name,children_ids,level,supported_special_industries,hashtag_type
0,22110112,GENERAL_INTEREST,Underwear,[],3,[],
1,19100,GENERAL_INTEREST,Petfood,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
2,24101,GENERAL_INTEREST,Office Equipment & Supplies,[],2,[],
3,25999007,GENERAL_INTEREST,RPG,"['25999007001', '25999007002', '25999007003', '25999007004', '25999007005', '25999007006', '25999007007', '25999007008', '25999007009', '25999007010', '25999007011', '25999007012', '25999007013']",3,[],
4,30100,GENERAL_INTEREST,Big Box Retailers,[],2,[],
5,18109,GENERAL_INTEREST,Leather Care,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
6,16100115,GENERAL_INTEREST,Pedicure Tools,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
7,25999008,GENERAL_INTEREST,Shooting,"['25999008001', '25999008002', '25999008003', '25999008004', '25999008005']",3,[],
8,23118106,GENERAL_INTEREST,Children's Books,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
9,16105101,GENERAL_INTEREST,Speakers & Audio,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
10,23123,GENERAL_INTEREST,Sports & Fitness,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
11,12105,GENERAL_INTEREST,Baby Shoes,[],2,[],
12,25999005,GENERAL_INTEREST,Puzzle,"['25999005001', '25999005002', '25999005003', '25999005004', '25999005005', '25999005006', '25999005007', '25999005008', '25999005009', '25999005010', '25999005011', '25999005012', '25999005013', '25999005014', '25999005015', '25999005016', '25999005017', '25999005018']",3,[],
13,19103,GENERAL_INTEREST,Pet Grooming,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
14,20107,GENERAL_INTEREST,Life & Leisure,"['20107102', '20107103', '20107107']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
15,25999009016,GENERAL_INTEREST,Other Simulation,[],4,[],
16,14104104,GENERAL_INTEREST,Makeup Tools,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
17,18111,GENERAL_INTEREST,Toys,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
18,28101117,GENERAL_INTEREST,Yoga & Dance,[],3,[],
19,23103,GENERAL_INTEREST,Science & Technology,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
20,27100111,GENERAL_INTEREST,Japanese Cuisine,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
21,10105,GENERAL_INTEREST,Language Training,"['10105101', '10105104']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
22,19,GENERAL_INTEREST,Pets,"['19100', '19101', '19102', '19103', '19105', '19106']",1,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
23,16101,GENERAL_INTEREST,Kitchen & Bathroom Appliances,"['16101100', '16101112', '16101113', '16101115', '16101118', '16101119', '16101123', '16101125', '16101129']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
24,16101112,GENERAL_INTEREST,Heated Lunch Boxes,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
25,25999005017,GENERAL_INTEREST,Tile-Matching,[],4,[],
26,25999002006,GENERAL_INTEREST,Music or Rhythm,[],4,[],
27,25999005018,GENERAL_INTEREST,Word,[],4,[],
28,13114,GENERAL_INTEREST,Third-Party Payments,[],2,[],
29,27100122,GENERAL_INTEREST,Middle Eastern Cuisine,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
30,25999014002,GENERAL_INTEREST,Other Kids,[],4,[],
31,25999002015,GENERAL_INTEREST,Slasher,[],4,[],
32,25999011003,GENERAL_INTEREST,Build and Battle,[],4,[],
33,25999008003,GENERAL_INTEREST,PvE Shooting,[],4,[],
34,25999011009,GENERAL_INTEREST,Tower Defense,[],4,[],
35,10105104,GENERAL_INTEREST,Spanish Language Training,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
36,15100,GENERAL_INTEREST,Cell Phones,['15100100'],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
37,11102101,GENERAL_INTEREST,Car Maintenance,[],3,[],
38,24100100,GENERAL_INTEREST,Real Estate Sales,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
39,16104108,GENERAL_INTEREST,Robotic Vacuums,[],3,[],
40,25999001009,GENERAL_INTEREST,Shooting,[],4,[],
41,25999008001,GENERAL_INTEREST,Battle Royale,[],4,[],
42,25100101101,GENERAL_INTEREST,Care Simulation Games,[],4,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
43,25996002,GENERAL_INTEREST,3D,[],3,[],
44,16104104,GENERAL_INTEREST,Electric Irons,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
45,11106,GENERAL_INTEREST,Motorcycles,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
46,26114,GENERAL_INTEREST,Beauty & Personal Care,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
47,25998012001,GENERAL_INTEREST,Farming,[],4,[],
48,15104,GENERAL_INTEREST,Gaming Devices,[],2,[],
49,25100103100,GENERAL_INTEREST,First-person Shooter Games,[],4,[],
50,25999001005,GENERAL_INTEREST,Music,[],4,[],
51,25998018013,GENERAL_INTEREST,Motocross,[],4,[],
52,17106,GENERAL_INTEREST,Travel Agencies & Services,['17106100'],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
53,14103101102,GENERAL_INTEREST,Face Lotions & Moisturizers,[],4,[],
54,22110101,GENERAL_INTEREST,Jackets,[],3,[],
