,carriers,country_code
0,"[{'name': 'AE: Etisalat', 'in_use': True, 'carrier_id': '4240000', 'value': [{'in_use': True, 'hni_id': '42402'}]}, {'name': 'AE: du', 'in_use': True, 'carrier_id': '4240001', 'value': [{'in_use': True, 'hni_id': '42403'}]}]",AE
1,"[{'name': 'AR: Claro', 'in_use': True, 'carrier_id': '7220000', 'value': [{'in_use': True, 'hni_id': '722310'}, {'in_use': True, 'hni_id': '722320'}, {'in_use': True, 'hni_id': '722330'}]}, {'name': 'AR: Movistar', 'in_use': True, 'carrier_id': '7220001', 'value': [{'in_use': True, 'hni_id': '72207'}, {'in_use': True, 'hni_id': '722010'}]}, {'name': 'AR: Personal', 'in_use': True, 'carrier_id': '7220002', 'value': [{'in_use': True, 'hni_id': '72234'}, {'in_use': True, 'hni_id': '722341'}]}]",AR
2,"[{'name': 'AT:Magenta', 'in_use': True, 'carrier_id': '2320000', 'value': [{'in_use': True, 'hni_id': '23203'}, {'in_use': True, 'hni_id': '23204'}, {'in_use': True, 'hni_id': '23213'}]}, {'name': 'AT:A1.net', 'in_use': True, 'carrier_id': '2320001', 'value': [{'in_use': True, 'hni_id': '23201'}]}, {'name': 'AT:3', 'in_use': True, 'carrier_id': '2320002', 'value': [{'in_use': True, 'hni_id': '23205'}, {'in_use': True, 'hni_id': '23210'}]}, {'name': 'AT:tele.ring', 'in_use': True, 'carrier_id': '2320003', 'value': [{'in_use': True, 'hni_id': '23207'}]}, {'name': 'AT:yesss!', 'in_use': False, 'carrier_id': '2320004', 'value': [{'in_use': False, 'hni_id': '23212'}]}]",AT
3,"[{'name': 'AU: Telstra\t', 'in_use': True, 'carrier_id': '5050000', 'value': [{'in_use': True, 'hni_id': '50501'}, {'in_use': True, 'hni_id': '50511'}, {'in_use': True, 'hni_id': '50539'}, {'in_use': True, 'hni_id': '50571'}, {'in_use': True, 'hni_id': '50572'}]}, {'name': 'AU: Optus\t', 'in_use': True, 'carrier_id': '5050001', 'value': [{'in_use': True, 'hni_id': '50502'}, {'in_use': True, 'hni_id': '50536'}, {'in_use': True, 'hni_id': '50590'}]}, {'name': 'AU: Vodafone\t', 'in_use': True, 'carrier_id': '5050002', 'value': [{'in_use': True, 'hni_id': '50503'}, {'in_use': True, 'hni_id': '50507'}]}, {'name': 'AU: Lycamobile', 'in_use': False, 'carrier_id': '5050003', 'value': [{'in_use': False, 'hni_id': '50519'}]}]",AU
4,"[{'name': 'BE:Proximus', 'in_use': True, 'carrier_id': '2060000', 'value': [{'in_use': True, 'hni_id': '20601'}]}, {'name': 'BE:Orange Belgium', 'in_use': True, 'carrier_id': '2060001', 'value': [{'in_use': True, 'hni_id': '20610'}]}, {'name': 'BE:Base', 'in_use': True, 'carrier_id': '2060002', 'value': [{'in_use': True, 'hni_id': '20620'}]}, {'name': 'BE:Telenet', 'in_use': True, 'carrier_id': '2060003', 'value': [{'in_use': True, 'hni_id': '20605'}]}, {'name': 'BE:Lycamobile', 'in_use': False, 'carrier_id': '2060004', 'value': [{'in_use': False, 'hni_id': '20606'}]}, {'name': 'BE:Mobile Vikings', 'in_use': False, 'carrier_id': '2060005', 'value': [{'in_use': False, 'hni_id': '20630'}]}]",BE
5,"[{'name': 'BG: Globul', 'in_use': True, 'carrier_id': '2840000', 'value': [{'in_use': True, 'hni_id': '28405'}]}, {'name': 'BG: BTC Mobile', 'in_use': True, 'carrier_id': '2840001', 'value': [{'in_use': True, 'hni_id': '28403'}]}, {'name': 'BG: M-Tel GSM BG', 'in_use': True, 'carrier_id': '2840002', 'value': [{'in_use': True, 'hni_id': '28401'}]}]",BG
6,"[{'name': 'BH: STC', 'in_use': True, 'carrier_id': '4260000', 'value': [{'in_use': True, 'hni_id': '42604'}]}, {'name': 'BH: zain BH', 'in_use': True, 'carrier_id': '4260001', 'value': [{'in_use': True, 'hni_id': '42602'}]}, {'name': 'BH: Batelco', 'in_use': True, 'carrier_id': '4260002', 'value': [{'in_use': True, 'hni_id': '42601'}]}]",BH
7,"[{'name': 'BR: Claro', 'in_use': True, 'carrier_id': '7240000', 'value': [{'in_use': True, 'hni_id': '72405'}, {'in_use': True, 'hni_id': '72438'}]}, {'name': 'BR: Oi', 'in_use': True, 'carrier_id': '7240001', 'value': [{'in_use': True, 'hni_id': '72430'}, {'in_use': True, 'hni_id': '72431'}]}, {'name': 'BR: TIM', 'in_use': True, 'carrier_id': '7240002', 'value': [{'in_use': True, 'hni_id': '72402'}, {'in_use': True, 'hni_id': '72403'}, {'in_use': True, 'hni_id': '72404'}]}, {'name': 'BR: Vivo', 'in_use': True, 'carrier_id': '7240003', 'value': [{'in_use': True, 'hni_id': '72406'}, {'in_use': True, 'hni_id': '72410'}, {'in_use': True, 'hni_id': '72411'}, {'in_use': True, 'hni_id': '72423'}]}]",BR
8,"[{'name': 'BY: MTS', 'in_use': True, 'carrier_id': '2570000', 'value': [{'in_use': True, 'hni_id': '25702'}]}, {'name': 'BY: A1', 'in_use': True, 'carrier_id': '2570001', 'value': [{'in_use': True, 'hni_id': '25701'}]}, {'name': 'BY: life:)', 'in_use': True, 'carrier_id': '2570002', 'value': [{'in_use': True, 'hni_id': '25704'}]}]",BY
9,"[{'name': 'CA: Bell Mobility', 'in_use': True, 'carrier_id': '3020000', 'value': [{'in_use': True, 'hni_id': '302610'}, {'in_use': True, 'hni_id': '302690'}]}, {'name': 'CA: Telus Mobility', 'in_use': True, 'carrier_id': '3020001', 'value': [{'in_use': True, 'hni_id': '302220'}, {'in_use': True, 'hni_id': '302221'}, {'in_use': True, 'hni_id': '302222'}, {'in_use': True, 'hni_id': '302860'}]}, {'name': 'CA: Rogers Wireless', 'in_use': True, 'carrier_id': '3020002', 'value': [{'in_use': True, 'hni_id': '302720'}, {'in_use': True, 'hni_id': '302320'}, {'in_use': True, 'hni_id': '302721'}, {'in_use': True, 'hni_id': '302820'}]}]",CA
10,"[{'name': 'CH:Swisscom', 'in_use': True, 'carrier_id': '2280000', 'value': [{'in_use': True, 'hni_id': '22801'}]}, {'name': 'CH:Sunrise', 'in_use': True, 'carrier_id': '2280001', 'value': [{'in_use': True, 'hni_id': '22802'}]}, {'name': 'CH:Salt', 'in_use': True, 'carrier_id': '2280002', 'value': [{'in_use': True, 'hni_id': '22803'}]}]",CH
11,"[{'name': 'CL: Entel', 'in_use': True, 'carrier_id': '7300000', 'value': [{'in_use': True, 'hni_id': '73001'}, {'in_use': True, 'hni_id': '73010'}]}, {'name': 'CL: WOM', 'in_use': True, 'carrier_id': '7300001', 'value': [{'in_use': True, 'hni_id': '73009'}, {'in_use': True, 'hni_id': '73004'}]}, {'name': 'CL: Movistar', 'in_use': True, 'carrier_id': '7300002', 'value': [{'in_use': True, 'hni_id': '73002'}, {'in_use': True, 'hni_id': '73007'}]}, {'name': 'CL: CLARO CL', 'in_use': True, 'carrier_id': '7300003', 'value': [{'in_use': True, 'hni_id': '73003'}]}]",CL
12,"[{'name': 'CO: Claro', 'in_use': True, 'carrier_id': '7320000', 'value': [{'in_use': True, 'hni_id': '732101'}]}, {'name': 'CO: Movistar', 'in_use': True, 'carrier_id': '7320001', 'value': [{'in_use': True, 'hni_id': '732123'}, {'in_use': True, 'hni_id': '732001'}]}, {'name': 'CO: Tigo', 'in_use': True, 'carrier_id': '7320002', 'value': [{'in_use': True, 'hni_id': '732103'}, {'in_use': True, 'hni_id': '732111'}, {'in_use': True, 'hni_id': '732020'}]}, {'name': 'CO: Avantel', 'in_use': False, 'carrier_id': '7320003', 'value': [{'in_use': False, 'hni_id': '732130'}]}]",CO
13,"[{'name': 'CZ: T-Mobile', 'in_use': True, 'carrier_id': '2300000', 'value': [{'in_use': False, 'hni_id': '23301'}, {'in_use': True, 'hni_id': '23001'}]}, {'name': 'CZ: Vodafone', 'in_use': True, 'carrier_id': '2300001', 'value': [{'in_use': False, 'hni_id': '23303'}, {'in_use': True, 'hni_id': '23003'}]}, {'name': 'CZ: O2', 'in_use': True, 'carrier_id': '2300002', 'value': [{'in_use': False, 'hni_id': '23302'}, {'in_use': True, 'hni_id': '23002'}]}]",CZ
