,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,575,Plateaux Department,region,CG,Republic of the Congo,True,True,Polygons not found.
1,578,Brazzaville,region,CG,Republic of the Congo,True,True,Polygons not found.
2,4819,Pointe-Noire,region,CG,Republic of the Congo,True,True,Polygons not found.
3,576,Sangha Department,region,CG,Republic of the Congo,True,True,Polygons not found.
4,570,Cuvette Department,region,CG,Republic of the Congo,True,True,Polygons not found.
5,571,Kouilou Department,region,CG,Republic of the Congo,True,True,Polygons not found.
6,573,Likouala Department,region,CG,Republic of the Congo,True,True,Polygons not found.
7,569,Bouenza Department,region,CG,Republic of the Congo,True,True,Polygons not found.
8,574,Niari Department,region,CG,Republic of the Congo,True,True,Polygons not found.
9,4818,Cuvette-Ouest Department,region,CG,Republic of the Congo,True,True,Polygons not found.
10,572,Lékoumou Department,region,CG,Republic of the Congo,True,True,Polygons not found.
11,577,Pool Department,region,CG,Republic of the Congo,True,True,Polygons not found.
