,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,1767,Diyala Governorate,region,IQ,Iraq,True,True,Polygons not found.
1,1761,Al-Qādisiyyah Governorate,region,IQ,Iraq,True,True,Polygons not found.
2,1759,Basra Governorate,region,IQ,Iraq,True,True,Polygons not found.
3,1758,Al Anbar Governorate,region,IQ,Iraq,True,True,Polygons not found.
4,1770,Kirkuk Governorate,region,IQ,Iraq,True,True,Polygons not found.
5,4334,Halabja Governorate,region,IQ,Iraq,True,True,Polygons not found.
6,1771,Maysan Governorate,region,IQ,Iraq,True,True,Polygons not found.
7,1773,Wasit Governorate,region,IQ,Iraq,True,True,Polygons not found.
8,1765,Dohuk Governorate,region,IQ,Iraq,True,True,Polygons not found.
9,1768,Erbil Governorate,region,IQ,Iraq,True,True,Polygons not found.
10,1764,Baghdad Governorate,region,IQ,Iraq,True,True,Polygons not found.
11,1766,Dhi Qar Governorate,region,IQ,Iraq,True,True,Polygons not found.
12,1769,Karbala Governorate,region,IQ,Iraq,True,True,Polygons not found.
13,1774,Najaf Governorate,region,IQ,Iraq,True,True,Polygons not found.
14,1772,Nineveh Governorate,region,IQ,Iraq,True,True,Polygons not found.
15,1775,Saladin Governorate,region,IQ,Iraq,True,True,Polygons not found.
16,1762,Sulaymaniyah Governorate,region,IQ,Iraq,True,True,Polygons not found.
