,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2075,Eschen,region,LI,Liechtenstein,True,True,Polygons not found.
1,2084,Vaduz,region,LI,Liechtenstein,True,True,Polygons not found.
2,2083,Triesenberg,region,LI,Liechtenstein,True,True,Polygons not found.
3,2077,Mauren,region,LI,Liechtenstein,True,True,Polygons not found.
4,2081,Schellenberg,region,LI,Liechtenstein,True,True,Polygons not found.
5,2076,Gamprin,region,LI,Liechtenstein,True,True,Polygons not found.
6,2079,Ruggell,region,LI,Liechtenstein,True,True,Polygons not found.
7,2082,Triesen,region,LI,Liechtenstein,True,True,Polygons not found.
8,2074,Balzers,region,LI,Liechtenstein,True,True,Polygons not found.
9,2078,Planken,region,LI,Liechtenstein,True,True,Polygons not found.
10,2080,Schaan,region,LI,Liechtenstein,True,True,Polygons not found.
