,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4859,Grand Kru County,region,LR,Liberia,True,True,Polygons not found.
1,2116,Sinoe County,region,LR,Liberia,True,True,Polygons not found.
2,2112,Lofa County,region,LR,Liberia,True,True,Polygons not found.
3,2117,Grand Bassa County,region,LR,Liberia,True,True,Polygons not found.
4,4863,River Gee County,region,LR,Liberia,True,True,Polygons not found.
5,4856,Bomi County,region,LR,Liberia,True,True,Polygons not found.
6,2118,Montserrado County,region,LR,Liberia,True,True,Polygons not found.
7,2110,Grand Gedeh County,region,LR,Liberia,True,True,Polygons not found.
8,4864,Margibi County,region,LR,Liberia,True,True,Polygons not found.
9,2111,Grand Cape Mount County,region,LR,Liberia,True,True,Polygons not found.
10,4861,Maryland County,region,LR,Liberia,True,True,Polygons not found.
11,2109,Bong County,region,LR,Liberia,True,True,Polygons not found.
12,4866,Gbarpolu County,region,LR,Liberia,True,True,Polygons not found.
