,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2443,Inchiri Region,region,MR,Mauritania,True,True,Polygons not found.
1,2436,Brakna Region,region,MR,Mauritania,True,True,Polygons not found.
2,2442,Tiris Zemmour Region,region,MR,Mauritania,True,True,Polygons not found.
3,2434,Assaba Region,region,MR,Mauritania,True,True,Polygons not found.
4,2438,Adrar Region,region,MR,Mauritania,True,True,Polygons not found.
5,2441,Guidimaka Region,region,MR,Mauritania,True,True,Polygons not found.
6,4682,Nouakchott,region,MR,Mauritania,True,True,Polygons not found.
7,2433,Hodh El Gharbi Region,region,MR,Mauritania,True,True,Polygons not found.
8,2437,Trarza Region,region,MR,Mauritania,True,True,Polygons not found.
9,2432,Hodh Ech Chargui Region,region,MR,Mauritania,True,True,Polygons not found.
10,2435,Gorgol Region,region,MR,Mauritania,True,True,Polygons not found.
11,2440,Tagant Region,region,MR,Mauritania,True,True,Polygons not found.
