,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4642,Noonu Atoll,region,MV,Maldives,True,True,Polygons not found.
1,4646,Faafu Atoll,region,MV,Maldives,True,True,Polygons not found.
2,2474,Kaafu Atoll,region,MV,Maldives,True,True,Polygons not found.
3,4644,Alif Alif Atoll,region,MV,Maldives,True,True,Polygons not found.
4,4605,Laamu Atoll,region,MV,Maldives,True,True,Polygons not found.
5,4603,Baa Atoll,region,MV,Maldives,True,True,Polygons not found.
6,4643,Lhaviyani Atoll,region,MV,Maldives,True,True,Polygons not found.
7,4640,Shaviyani Atoll,region,MV,Maldives,True,True,Polygons not found.
8,4641,Raa Atoll,region,MV,Maldives,True,True,Polygons not found.
9,4604,Gaafu Alif Atoll,region,MV,Maldives,True,True,Polygons not found.
10,2459,Addu Atoll,region,MV,Maldives,True,True,Polygons not found.
11,4687,Meemu Atoll,region,MV,Maldives,True,True,Polygons not found.
12,4651,Gnaviyani Atoll,region,MV,Maldives,True,True,Polygons not found.
13,4602,Haa Alif Atoll,region,MV,Maldives,True,True,Polygons not found.
14,4647,Dhaalu Atoll,region,MV,Maldives,True,True,Polygons not found.
15,4610,Haa Dhaalu Atoll,region,MV,Maldives,True,True,Polygons not found.
16,4650,Gaafu Dhaalu Atoll,region,MV,Maldives,True,True,Polygons not found.
17,4645,Vaavu Atoll,region,MV,Maldives,True,True,Polygons not found.
