,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2652,Madriz Department,region,NI,Nicaragua,True,True,Polygons not found.
1,2644,Boaco Department,region,NI,Nicaragua,True,True,Polygons not found.
2,2650,Jinotega Department,region,NI,Nicaragua,True,True,Polygons not found.
3,2649,Granada Department,region,NI,Nicaragua,True,True,Polygons not found.
4,2647,Chontales Department,region,NI,Nicaragua,True,True,Polygons not found.
5,2657,Río San Juan Department,region,NI,Nicaragua,True,True,Polygons not found.
6,2656,Nueva Segovia Department,region,NI,Nicaragua,True,True,Polygons not found.
7,2654,Masaya Department,region,NI,Nicaragua,True,True,Polygons not found.
8,2658,Rivas Department,region,NI,Nicaragua,True,True,Polygons not found.
9,2653,Managua Department,region,NI,Nicaragua,True,True,Polygons not found.
10,2655,Matagalpa Department,region,NI,Nicaragua,True,True,Polygons not found.
11,2651,León Department,region,NI,Nicaragua,True,True,Polygons not found.
12,2648,Estelí Department,region,NI,Nicaragua,True,True,Polygons not found.
13,2646,Chinandega Department,region,NI,Nicaragua,True,True,Polygons not found.
14,2645,Carazo Department,region,NI,Nicaragua,True,True,Polygons not found.
