,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4253,Vega Alta,region,PR,Puerto Rico,True,True,Polygons not found.
1,4272,Humacao,region,PR,Puerto Rico,True,True,Polygons not found.
2,4229,Las Marías,region,PR,Puerto Rico,True,True,Polygons not found.
3,4254,Utuado,region,PR,Puerto Rico,True,True,Polygons not found.
4,4216,Ciales,region,PR,Puerto Rico,True,True,Polygons not found.
5,4273,Isabela,region,PR,Puerto Rico,True,True,Polygons not found.
6,4224,Gurabo,region,PR,Puerto Rico,True,True,Polygons not found.
7,4261,Arecibo,region,PR,Puerto Rico,True,True,Polygons not found.
8,4234,Maunabo,region,PR,Puerto Rico,True,True,Polygons not found.
9,4208,Arroyo,region,PR,Puerto Rico,True,True,Polygons not found.
10,4270,Guaynabo,region,PR,Puerto Rico,True,True,Polygons not found.
11,4230,Lajas,region,PR,Puerto Rico,True,True,Polygons not found.
12,4231,Lares,region,PR,Puerto Rico,True,True,Polygons not found.
13,4266,Cayey,region,PR,Puerto Rico,True,True,Polygons not found.
14,4222,Guánica,region,PR,Puerto Rico,True,True,Polygons not found.
15,4264,Ceiba,region,PR,Puerto Rico,True,True,Polygons not found.
16,4262,Caguas,region,PR,Puerto Rico,True,True,Polygons not found.
17,4213,Cabo Rojo,region,PR,Puerto Rico,True,True,Polygons not found.
18,4220,Comerío,region,PR,Puerto Rico,True,True,Polygons not found.
19,4246,San Lorenzo,region,PR,Puerto Rico,True,True,Polygons not found.
20,4269,Fajardo,region,PR,Puerto Rico,True,True,Polygons not found.
21,4232,Manatí,region,PR,Puerto Rico,True,True,Polygons not found.
22,4274,Hormigueros,region,PR,Puerto Rico,True,True,Polygons not found.
23,4278,Naguabo,region,PR,Puerto Rico,True,True,Polygons not found.
24,4280,Sabana Grande,region,PR,Puerto Rico,True,True,Polygons not found.
25,4248,Toa Alta,region,PR,Puerto Rico,True,True,Polygons not found.
26,4268,Dorado,region,PR,Puerto Rico,True,True,Polygons not found.
27,4228,Juana Díaz,region,PR,Puerto Rico,True,True,Polygons not found.
28,4205,Adjuntas,region,PR,Puerto Rico,True,True,Polygons not found.
29,4249,Santa Isabel,region,PR,Puerto Rico,True,True,Polygons not found.
30,4265,Carolina,region,PR,Puerto Rico,True,True,Polygons not found.
31,4218,Cidra,region,PR,Puerto Rico,True,True,Polygons not found.
32,4252,Vega Baja,region,PR,Puerto Rico,True,True,Polygons not found.
33,4236,Moca,region,PR,Puerto Rico,True,True,Polygons not found.
34,4247,San Sebastián,region,PR,Puerto Rico,True,True,Polygons not found.
35,4215,Canóvanas,region,PR,Puerto Rico,True,True,Polygons not found.
36,4241,Peñuelas,region,PR,Puerto Rico,True,True,Polygons not found.
37,4226,Jayuya,region,PR,Puerto Rico,True,True,Polygons not found.
38,4221,Florida,region,PR,Puerto Rico,True,True,Polygons not found.
39,4235,Loíza,region,PR,Puerto Rico,True,True,Polygons not found.
40,4250,Trujillo Alto,region,PR,Puerto Rico,True,True,Polygons not found.
41,4212,Barranquitas,region,PR,Puerto Rico,True,True,Polygons not found.
42,4242,Quebradillas,region,PR,Puerto Rico,True,True,Polygons not found.
43,4271,Guayama,region,PR,Puerto Rico,True,True,Polygons not found.
44,4281,San Juan,region,PR,Puerto Rico,True,True,Polygons not found.
45,4227,Juncos,region,PR,Puerto Rico,True,True,Polygons not found.
46,4276,Luquillo,region,PR,Puerto Rico,True,True,Polygons not found.
47,4223,Guayanilla,region,PR,Puerto Rico,True,True,Polygons not found.
