,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,117,Santa Fe,region,AR,Argentina,True,True,Polygons not found.
1,119,Tierra del Fuego,region,AR,Argentina,True,True,Polygons not found.
2,104,Entre Rios,region,AR,Argentina,True,True,Polygons not found.
3,120,Tucuman,region,AR,Argentina,True,True,Polygons not found.
4,118,Santiago del Estero,region,AR,Argentina,True,True,Polygons not found.
5,109,Mendoza,region,AR,Argentina,True,True,Polygons not found.
6,100,Chubut,region,AR,Argentina,True,True,Polygons not found.
7,107,La Pampa,region,AR,Argentina,True,True,Polygons not found.
8,103,Ciudad Autónoma de Buenos Aires,region,AR,Argentina,True,True,Polygons not found.
9,116,Santa Cruz,region,AR,Argentina,True,True,Polygons not found.
10,102,Corrientes,region,AR,Argentina,True,True,Polygons not found.
11,99,Chaco,region,AR,Argentina,True,True,Polygons not found.
12,106,Jujuy,region,AR,Argentina,True,True,Polygons not found.
13,110,Misiones,region,AR,Argentina,True,True,Polygons not found.
