,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,498,Samdrup Jongkhar District,region,BT,Bhutan,True,True,Polygons not found.
1,491,Haa District,region,BT,Bhutan,True,True,Polygons not found.
2,502,Trongsa District,region,BT,Bhutan,True,True,Polygons not found.
3,489,Dagana District,region,BT,Bhutan,True,True,Polygons not found.
4,486,Bumthang District,region,BT,Bhutan,True,True,Polygons not found.
5,490,Sarpang District,region,BT,Bhutan,True,True,Polygons not found.
6,497,Samtse District,region,BT,Bhutan,True,True,Polygons not found.
7,495,Pemagatshel District,region,BT,Bhutan,True,True,Polygons not found.
8,499,Zhemgang District,region,BT,Bhutan,True,True,Polygons not found.
9,496,Punakha District,region,BT,Bhutan,True,True,Polygons not found.
10,493,Mongar District,region,BT,Bhutan,True,True,Polygons not found.
11,494,Paro District,region,BT,Bhutan,True,True,Polygons not found.
12,4832,Gasa District,region,BT,Bhutan,True,True,Polygons not found.
13,500,Trashigang District,region,BT,Bhutan,True,True,Polygons not found.
14,487,Chukha District,region,BT,Bhutan,True,True,Polygons not found.
15,488,Tsirang District,region,BT,Bhutan,True,True,Polygons not found.
16,503,Wangdue Phodrang District,region,BT,Bhutan,True,True,Polygons not found.
17,501,Thimphu District,region,BT,Bhutan,True,True,Polygons not found.
18,4833,Trashiyangtse District,region,BT,Bhutan,True,True,Polygons not found.
19,492,Lhuntse District,region,BT,Bhutan,True,True,Polygons not found.
