,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,1882,Amman Governorate,region,JO,Jordan,True,True,Polygons not found.
1,1877,Karak Governorate,region,JO,Jordan,True,True,Polygons not found.
2,1875,Balqa Governorate,region,JO,Jordan,True,True,Polygons not found.
3,1880,Zarqa Governorate,region,JO,Jordan,True,True,Polygons not found.
4,1878,Mafraq Governorate,region,JO,Jordan,True,True,Polygons not found.
5,4338,Aqaba Governorate,region,JO,Jordan,True,True,Polygons not found.
6,4336,Jerash Governorate,region,JO,Jordan,True,True,Polygons not found.
7,4335,Ajloun Governorate,region,JO,Jordan,True,True,Polygons not found.
8,4337,Madaba Governorate,region,JO,Jordan,True,True,Polygons not found.
9,1879,Tafilah Governorate,region,JO,Jordan,True,True,Polygons not found.
10,1881,Irbid Governorate,region,JO,Jordan,True,True,Polygons not found.
11,1876,Ma'an Governorate,region,JO,Jordan,True,True,Polygons not found.
