,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2240,Monaco City,region,MC,Monaco,True,True,Polygons not found.
1,4697,La Condamine,region,MC,Monaco,True,True,Polygons not found.
2,4652,Saint Roman,region,MC,Monaco,True,True,Polygons not found.
3,4696,Monte Carlo,region,MC,Monaco,True,True,Polygons not found.
4,4657,Le Portier,region,MC,Monaco,True,True,Polygons not found.
5,4656,La Colle,region,MC,Monaco,True,True,Polygons not found.
6,4653,Larvotto,region,MC,Monaco,True,True,Polygons not found.
7,4658,Les Révoires,region,MC,Monaco,True,True,Polygons not found.
8,4654,Saint Michel,region,MC,Monaco,True,True,Polygons not found.
9,4694,Fontvieille,region,MC,Monaco,True,True,Polygons not found.
