,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,3084,Neamț County,region,RO,Romania,True,True,Polygons not found.
1,3099,Ilfov County,region,RO,Romania,True,True,Polygons not found.
2,3078,Hunedoara County,region,RO,Romania,True,True,Polygons not found.
3,3073,Dâmbovița County,region,RO,Romania,True,True,Polygons not found.
4,3059,Arad County,region,RO,Romania,True,True,Polygons not found.
5,3063,Bistrița-Năsăud County,region,RO,Romania,True,True,Polygons not found.
6,3071,Constanța County,region,RO,Romania,True,True,Polygons not found.
7,3089,Sibiu County,region,RO,Romania,True,True,Polygons not found.
8,3072,Covasna County,region,RO,Romania,True,True,Polygons not found.
9,3086,Prahova County,region,RO,Romania,True,True,Polygons not found.
10,3087,Sălaj County,region,RO,Romania,True,True,Polygons not found.
11,3076,Gorj County,region,RO,Romania,True,True,Polygons not found.
12,3069,Caraș-Severin County,region,RO,Romania,True,True,Polygons not found.
13,3088,Satu Mare County,region,RO,Romania,True,True,Polygons not found.
14,3090,Suceava County,region,RO,Romania,True,True,Polygons not found.
15,3097,Călărași County,region,RO,Romania,True,True,Polygons not found.
16,3079,Ialomița County,region,RO,Romania,True,True,Polygons not found.
17,3068,Buzău County,region,RO,Romania,True,True,Polygons not found.
18,3081,Maramureș County,region,RO,Romania,True,True,Polygons not found.
19,3093,Tulcea County,region,RO,Romania,True,True,Polygons not found.
20,3083,Mureș County,region,RO,Romania,True,True,Polygons not found.
21,3067,Bucharest,region,RO,Romania,True,True,Polygons not found.
22,3085,Olt County,region,RO,Romania,True,True,Polygons not found.
23,3064,Botoșani County,region,RO,Romania,True,True,Polygons not found.
24,3061,Bacău County,region,RO,Romania,True,True,Polygons not found.
25,3074,Dolj County,region,RO,Romania,True,True,Polygons not found.
26,3098,Giurgiu County,region,RO,Romania,True,True,Polygons not found.
27,3062,Bihor County,region,RO,Romania,True,True,Polygons not found.
28,3091,Teleorman County,region,RO,Romania,True,True,Polygons not found.
29,3096,Vrancea County,region,RO,Romania,True,True,Polygons not found.
30,3092,Timiș County,region,RO,Romania,True,True,Polygons not found.
31,3082,Mehedinți County,region,RO,Romania,True,True,Polygons not found.
32,3080,Iași County,region,RO,Romania,True,True,Polygons not found.
33,3094,Vaslui County,region,RO,Romania,True,True,Polygons not found.
34,3077,Harghita County,region,RO,Romania,True,True,Polygons not found.
35,3070,Cluj County,region,RO,Romania,True,True,Polygons not found.
36,3095,Vâlcea County,region,RO,Romania,True,True,Polygons not found.
37,3066,Brașov County,region,RO,Romania,True,True,Polygons not found.
38,3075,Galați County,region,RO,Romania,True,True,Polygons not found.
