,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,3199,Al Bahah Region,region,SA,Saudi Arabia,True,True,Polygons not found.
1,4202,Najran Region,region,SA,Saudi Arabia,True,True,Polygons not found.
2,3206,Ha'il Region,region,SA,Saudi Arabia,True,True,Polygons not found.
3,3207,Makkah Region,region,SA,Saudi Arabia,True,True,Polygons not found.
4,3212,Al Jawf Region,region,SA,Saudi Arabia,True,True,Polygons not found.
5,4201,'Asir Region,region,SA,Saudi Arabia,True,True,Polygons not found.
6,3210,Jizan Region,region,SA,Saudi Arabia,True,True,Polygons not found.
7,3205,Riyadh Region,region,SA,Saudi Arabia,True,True,Polygons not found.
8,3202,Eastern Province,region,SA,Saudi Arabia,True,True,Polygons not found.
9,3201,Al Madinah Region,region,SA,Saudi Arabia,True,True,Polygons not found.
10,3208,Northern Borders Region,region,SA,Saudi Arabia,True,True,Polygons not found.
