,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4898,Temotu Province,region,SB,Solomon Islands,True,True,Polygons not found.
1,4893,Guadalcanal Province,region,SB,Solomon Islands,True,True,Polygons not found.
2,4895,Malaita Province,region,SB,Solomon Islands,True,True,Polygons not found.
3,4890,Central Province,region,SB,Solomon Islands,True,True,Polygons not found.
4,4896,Rennell and Bellona Province,region,SB,Solomon Islands,True,True,Polygons not found.
5,4897,Western Province,region,SB,Solomon Islands,True,True,Polygons not found.
6,4903,Honiara,region,SB,Solomon Islands,True,True,Polygons not found.
7,4894,Isabel Province,region,SB,Solomon Islands,True,True,Polygons not found.
8,3218,Makira-Ulawa Province,region,SB,Solomon Islands,True,True,Polygons not found.
9,4892,Choiseul Province,region,SB,Solomon Islands,True,True,Polygons not found.
