,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4417,Les Mamelles,region,SC,Seychelles,True,True,Polygons not found.
1,4408,Cascade,region,SC,Seychelles,True,True,Polygons not found.
2,4411,Mont Buxton,region,SC,Seychelles,True,True,Polygons not found.
3,4412,Mont Fleuri,region,SC,Seychelles,True,True,Polygons not found.
4,4410,La Rivière Anglaise,region,SC,Seychelles,True,True,Polygons not found.
5,4403,Anse Royale,region,SC,Seychelles,True,True,Polygons not found.
6,4401,Anse Etoile,region,SC,Seychelles,True,True,Polygons not found.
7,4422,Outer Islands,region,SC,Seychelles,True,True,Polygons not found.
8,4404,Baie Lazare,region,SC,Seychelles,True,True,Polygons not found.
9,4414,Port Glaud,region,SC,Seychelles,True,True,Polygons not found.
10,4418,Grand'Anse Praslin,region,SC,Seychelles,True,True,Polygons not found.
11,4405,Glacis,region,SC,Seychelles,True,True,Polygons not found.
12,4409,Grand'Anse Mahé,region,SC,Seychelles,True,True,Polygons not found.
13,4421,La Digue and Inner Islands,region,SC,Seychelles,True,True,Polygons not found.
14,4416,Takamaka,region,SC,Seychelles,True,True,Polygons not found.
15,4402,Au Cap,region,SC,Seychelles,True,True,Polygons not found.
16,4413,Pointe La Rue,region,SC,Seychelles,True,True,Polygons not found.
17,4396,Plaisance,region,SC,Seychelles,True,True,Polygons not found.
18,4420,Roche Caiman,region,SC,Seychelles,True,True,Polygons not found.
19,4415,Saint Louis,region,SC,Seychelles,True,True,Polygons not found.
20,3227,Beau Vallon,region,SC,Seychelles,True,True,Polygons not found.
21,4419,Baie Sainte Anne,region,SC,Seychelles,True,True,Polygons not found.
22,4397,Anse-aux-Pins,region,SC,Seychelles,True,True,Polygons not found.
23,4406,Bel Air,region,SC,Seychelles,True,True,Polygons not found.
24,4400,Anse Boileau,region,SC,Seychelles,True,True,Polygons not found.
25,4407,Bel Ombre,region,SC,Seychelles,True,True,Polygons not found.
