,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,450,Pará,region,BR,Brazil,True,True,Polygons not found.
1,449,Minas Gerais,region,BR,Brazil,True,True,Polygons not found.
2,447,Maranhão,region,BR,Brazil,True,True,Polygons not found.
3,440,Amapá,region,BR,Brazil,True,True,Polygons not found.
4,445,Espírito Santo,region,BR,Brazil,True,True,Polygons not found.
5,444,Federal District,region,BR,Brazil,True,True,Polygons not found.
6,458,Roraima,region,BR,Brazil,True,True,Polygons not found.
7,439,Alagoas,region,BR,Brazil,True,True,Polygons not found.
8,463,Pernambuco,region,BR,Brazil,True,True,Polygons not found.
9,455,Rio Grande do Norte,region,BR,Brazil,True,True,Polygons not found.
10,464,Tocantins,region,BR,Brazil,True,True,Polygons not found.
11,451,Paraíba,region,BR,Brazil,True,True,Polygons not found.
12,443,Ceará,region,BR,Brazil,True,True,Polygons not found.
13,461,Sergipe,region,BR,Brazil,True,True,Polygons not found.
14,457,Rondônia,region,BR,Brazil,True,True,Polygons not found.
15,456,Rio Grande do Sul,region,BR,Brazil,True,True,Polygons not found.
16,462,Goiás,region,BR,Brazil,True,True,Polygons not found.
17,441,Amazonas,region,BR,Brazil,True,True,Polygons not found.
18,452,Paraná,region,BR,Brazil,True,True,Polygons not found.
19,460,São Paulo (state),region,BR,Brazil,True,True,Polygons not found.
20,459,Santa Catarina,region,BR,Brazil,True,True,Polygons not found.
21,453,Piauí,region,BR,Brazil,True,True,Polygons not found.
22,442,Bahia,region,BR,Brazil,True,True,Polygons not found.
23,448,Mato Grosso,region,BR,Brazil,True,True,Polygons not found.
24,446,Mato Grosso do Sul,region,BR,Brazil,True,True,Polygons not found.
