,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4555,Sal,region,CV,Cape Verde,True,True,Polygons not found.
1,4557,Santa Luzia,region,CV,Cape Verde,True,True,Polygons not found.
2,4554,Boa Vista,region,CV,Cape Verde,True,True,Polygons not found.
3,4558,Santo Antão,region,CV,Cape Verde,True,True,Polygons not found.
4,4561,São Vicente,region,CV,Cape Verde,True,True,Polygons not found.
5,4553,Maio,region,CV,Cape Verde,True,True,Polygons not found.
6,4601,Brava,region,CV,Cape Verde,True,True,Polygons not found.
7,4556,Fogo,region,CV,Cape Verde,True,True,Polygons not found.
8,4559,São Nicolau,region,CV,Cape Verde,True,True,Polygons not found.
9,4560,Santiago,region,CV,Cape Verde,True,True,Polygons not found.
