,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2027,Almaty Region,region,KZ,Kazakhstan,True,True,Polygons not found.
1,2037,Pavlodar Region,region,KZ,Kazakhstan,True,True,Polygons not found.
2,2036,South Kazakhstan Region,region,KZ,Kazakhstan,True,True,Polygons not found.
3,2038,Karaganda Region,region,KZ,Kazakhstan,True,True,Polygons not found.
4,2043,Jambyl Region,region,KZ,Kazakhstan,True,True,Polygons not found.
5,2030,Aktobe Region,region,KZ,Kazakhstan,True,True,Polygons not found.
6,2029,Akmola Region,region,KZ,Kazakhstan,True,True,Polygons not found.
7,2039,Kostanay Region,region,KZ,Kazakhstan,True,True,Polygons not found.
8,2032,Atyrau Region,region,KZ,Kazakhstan,True,True,Polygons not found.
9,2040,Kyzylorda Region,region,KZ,Kazakhstan,True,True,Polygons not found.
10,2041,East Kazakhstan Region,region,KZ,Kazakhstan,True,True,Polygons not found.
11,2035,Mangystau Region,region,KZ,Kazakhstan,True,True,Polygons not found.
12,2042,North Kazakhstan Region,region,KZ,Kazakhstan,True,True,Polygons not found.
