,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4574,Vientiane Prefecture,region,LA,Laos,True,True,Polygons not found.
1,2050,Phongsaly Province,region,LA,Laos,True,True,Polygons not found.
2,2055,Xiangkhouang Province,region,LA,Laos,True,True,Polygons not found.
3,2052,Savannakhet Province,region,LA,Laos,True,True,Polygons not found.
4,2044,Attapeu Province,region,LA,Laos,True,True,Polygons not found.
5,2051,Salavan Province,region,LA,Laos,True,True,Polygons not found.
6,2056,Luang Prabang Province,region,LA,Laos,True,True,Polygons not found.
7,4568,Luang Namtha Province,region,LA,Laos,True,True,Polygons not found.
8,2054,Sainyabuli Province,region,LA,Laos,True,True,Polygons not found.
9,4575,Sekong Province,region,LA,Laos,True,True,Polygons not found.
10,2047,Khammouane Province,region,LA,Laos,True,True,Polygons not found.
11,2049,Oudomxay Province,region,LA,Laos,True,True,Polygons not found.
12,2046,Houaphanh Province,region,LA,Laos,True,True,Polygons not found.
13,4567,Bolikhamsai Province,region,LA,Laos,True,True,Polygons not found.
14,2053,Vientiane Province,region,LA,Laos,True,True,Polygons not found.
15,2045,Champasak Province,region,LA,Laos,True,True,Polygons not found.
16,4566,Bokeo Province,region,LA,Laos,True,True,Polygons not found.
