,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4573,Atsimo-Atsinanana,region,MG,Madagascar,True,True,Polygons not found.
1,4572,Bongolava,region,MG,Madagascar,True,True,Polygons not found.
2,4585,Sofia Region,region,MG,Madagascar,True,True,Polygons not found.
3,4581,Amoron'i Mania,region,MG,Madagascar,True,True,Polygons not found.
4,4571,Vakinankaratra,region,MG,Madagascar,True,True,Polygons not found.
5,4577,Analamanga,region,MG,Madagascar,True,True,Polygons not found.
6,4600,Ihorombe,region,MG,Madagascar,True,True,Polygons not found.
7,4588,Menabe,region,MG,Madagascar,True,True,Polygons not found.
8,4580,Analanjirofo,region,MG,Madagascar,True,True,Polygons not found.
9,2257,Atsimo-Andrefana,region,MG,Madagascar,True,True,Polygons not found.
10,4598,Boeny,region,MG,Madagascar,True,True,Polygons not found.
11,4578,Melaky,region,MG,Madagascar,True,True,Polygons not found.
12,4565,Diana Region,region,MG,Madagascar,True,True,Polygons not found.
13,4587,Androy,region,MG,Madagascar,True,True,Polygons not found.
14,4582,Haute Matsiatra,region,MG,Madagascar,True,True,Polygons not found.
15,4584,Sava Region,region,MG,Madagascar,True,True,Polygons not found.
16,4586,Vatovavy-Fitovinany,region,MG,Madagascar,True,True,Polygons not found.
17,4579,Alaotra-Mangoro,region,MG,Madagascar,True,True,Polygons not found.
18,4599,Betsiboka,region,MG,Madagascar,True,True,Polygons not found.
19,2253,Atsinanana,region,MG,Madagascar,True,True,Polygons not found.
