,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2320,Makedonska Kamenica Municipality,region,MK,Macedonia,True,True,Polygons not found.
1,2279,Debar Municipality,region,MK,Macedonia,True,True,Polygons not found.
2,2310,Kriva Palanka Municipality,region,MK,Macedonia,True,True,Polygons not found.
3,2317,Lipkovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
4,2318,Lozovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
5,2268,Bogovinje Municipality,region,MK,Macedonia,True,True,Polygons not found.
6,2286,Dolneni Municipality,region,MK,Macedonia,True,True,Polygons not found.
7,2369,Vevčani Municipality,region,MK,Macedonia,True,True,Polygons not found.
8,2366,Vasilevo Municipality,region,MK,Macedonia,True,True,Polygons not found.
9,2377,Zelenikovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
10,2340,Prilep Municipality,region,MK,Macedonia,True,True,Polygons not found.
11,2294,Ilinden Municipality,region,MK,Macedonia,True,True,Polygons not found.
12,2330,Novo Selo Municipality,region,MK,Macedonia,True,True,Polygons not found.
13,2367,Veles Municipality,region,MK,Macedonia,True,True,Polygons not found.
14,2365,Valandovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
15,2299,Karpoš Municipality,region,MK,Macedonia,True,True,Polygons not found.
16,2361,Sveti Nikole Municipality,region,MK,Macedonia,True,True,Polygons not found.
17,2338,Plasnica Municipality,region,MK,Macedonia,True,True,Polygons not found.
18,2360,Šuto Orizari Municipality,region,MK,Macedonia,True,True,Polygons not found.
19,2283,Demir Kapija Municipality,region,MK,Macedonia,True,True,Polygons not found.
20,2370,Vinica Municipality,region,MK,Macedonia,True,True,Polygons not found.
21,2325,Mogila Municipality,region,MK,Macedonia,True,True,Polygons not found.
22,2348,Saraj Municipality,region,MK,Macedonia,True,True,Polygons not found.
23,2362,Tearce Municipality,region,MK,Macedonia,True,True,Polygons not found.
24,2292,Gostivar Municipality,region,MK,Macedonia,True,True,Polygons not found.
25,2301,Kičevo Municipality,region,MK,Macedonia,True,True,Polygons not found.
26,2357,Struga Municipality,region,MK,Macedonia,True,True,Polygons not found.
27,2315,Kumanovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
28,2332,Ohrid Municipality,region,MK,Macedonia,True,True,Polygons not found.
29,4473,Gjorče Petrov Municipality,region,MK,Macedonia,True,True,Polygons not found.
30,2363,Tetovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
31,2329,Novaci Municipality,region,MK,Macedonia,True,True,Polygons not found.
32,4476,Debarca Municipality,region,MK,Macedonia,True,True,Polygons not found.
33,2264,Bitola Municipality,region,MK,Macedonia,True,True,Polygons not found.
34,2282,Demir Hisar Municipality,region,MK,Macedonia,True,True,Polygons not found.
35,2321,Makedonski Brod Municipality,region,MK,Macedonia,True,True,Polygons not found.
36,2343,Rankovce Municipality,region,MK,Macedonia,True,True,Polygons not found.
37,2327,Negotino Municipality,region,MK,Macedonia,True,True,Polygons not found.
38,2291,Gevgelija Municipality,region,MK,Macedonia,True,True,Polygons not found.
39,2262,Berovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
40,4474,Dojran Municipality,region,MK,Macedonia,True,True,Polygons not found.
41,2300,Kavadarci Municipality,region,MK,Macedonia,True,True,Polygons not found.
42,4472,Gazi Baba Municipality,region,MK,Macedonia,True,True,Polygons not found.
43,2358,Strumica Municipality,region,MK,Macedonia,True,True,Polygons not found.
44,2266,Bogdanci Municipality,region,MK,Macedonia,True,True,Polygons not found.
45,2302,Kisela Voda Municipality,region,MK,Macedonia,True,True,Polygons not found.
46,2381,Zrnovci Municipality,region,MK,Macedonia,True,True,Polygons not found.
47,2269,Bosilovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
48,2345,Rosoman Municipality,region,MK,Macedonia,True,True,Polygons not found.
49,2296,Jegunovce Municipality,region,MK,Macedonia,True,True,Polygons not found.
50,2270,Brvenica Municipality,region,MK,Macedonia,True,True,Polygons not found.
51,2337,Petrovec Municipality,region,MK,Macedonia,True,True,Polygons not found.
52,2305,Konče Municipality,region,MK,Macedonia,True,True,Polygons not found.
53,2293,Gradsko Municipality,region,MK,Macedonia,True,True,Polygons not found.
54,2342,Radoviš Municipality,region,MK,Macedonia,True,True,Polygons not found.
55,2309,Kratovo Municipality,region,MK,Macedonia,True,True,Polygons not found.
56,2273,Čaška Municipality,region,MK,Macedonia,True,True,Polygons not found.
57,4475,Centar Župa Municipality,region,MK,Macedonia,True,True,Polygons not found.
