,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2490,Ntcheu District,region,MW,Malawi,True,True,Polygons not found.
1,2498,Blantyre District,region,MW,Malawi,True,True,Polygons not found.
2,2504,Phalombe District,region,MW,Malawi,True,True,Polygons not found.
3,2483,Dowa District,region,MW,Malawi,True,True,Polygons not found.
4,4591,Likoma District,region,MW,Malawi,True,True,Polygons not found.
5,2499,Mwanza District,region,MW,Malawi,True,True,Polygons not found.
6,2484,Karonga District,region,MW,Malawi,True,True,Polygons not found.
7,2500,Balaka District,region,MW,Malawi,True,True,Polygons not found.
8,2487,Mangochi District,region,MW,Malawi,True,True,Polygons not found.
9,2496,Salima District,region,MW,Malawi,True,True,Polygons not found.
10,2491,Nkhata Bay District,region,MW,Malawi,True,True,Polygons not found.
11,2485,Kasungu District,region,MW,Malawi,True,True,Polygons not found.
12,4592,Neno District,region,MW,Malawi,True,True,Polygons not found.
13,2492,Nkhotakota District,region,MW,Malawi,True,True,Polygons not found.
14,2482,Dedza District,region,MW,Malawi,True,True,Polygons not found.
15,2489,Mzimba District,region,MW,Malawi,True,True,Polygons not found.
16,2494,Ntchisi District,region,MW,Malawi,True,True,Polygons not found.
17,2493,Nsanje District,region,MW,Malawi,True,True,Polygons not found.
18,2502,Machinga District,region,MW,Malawi,True,True,Polygons not found.
19,2481,Thyolo District,region,MW,Malawi,True,True,Polygons not found.
20,2488,Mchinji District,region,MW,Malawi,True,True,Polygons not found.
21,2497,Zomba District,region,MW,Malawi,True,True,Polygons not found.
22,2486,Lilongwe District,region,MW,Malawi,True,True,Polygons not found.
23,2479,Chiradzulu District,region,MW,Malawi,True,True,Polygons not found.
24,2503,Mulanje District,region,MW,Malawi,True,True,Polygons not found.
25,2478,Chikwawa District,region,MW,Malawi,True,True,Polygons not found.
26,2495,Rumphi District,region,MW,Malawi,True,True,Polygons not found.
