,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4691,Karnali Zone,region,NP,Nepal,True,True,Polygons not found.
1,4609,Mahakali Zone,region,NP,Nepal,True,True,Polygons not found.
2,4689,Lumbini Zone,region,NP,Nepal,True,True,Polygons not found.
3,4690,Bheri Zone,region,NP,Nepal,True,True,Polygons not found.
4,4606,Sagarmatha Zone,region,NP,Nepal,True,True,Polygons not found.
5,4685,Bagmati Zone,region,NP,Nepal,True,True,Polygons not found.
6,4608,Gandaki Zone,region,NP,Nepal,True,True,Polygons not found.
7,4607,Narayani Zone,region,NP,Nepal,True,True,Polygons not found.
8,4683,Kosi Zone,region,NP,Nepal,True,True,Polygons not found.
9,4693,Seti Zone,region,NP,Nepal,True,True,Polygons not found.
10,4692,Rapti Zone,region,NP,Nepal,True,True,Polygons not found.
11,4684,Mechi Zone,region,NP,Nepal,True,True,Polygons not found.
12,4686,Janakpur Zone,region,NP,Nepal,True,True,Polygons not found.
