,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,3486,La Unión Department,region,SV,El Salvador,True,True,Polygons not found.
1,3481,Cabañas Department,region,SV,El Salvador,True,True,Polygons not found.
2,3493,Usulután Department,region,SV,El Salvador,True,True,Polygons not found.
3,3482,Chalatenango Department,region,SV,El Salvador,True,True,Polygons not found.
4,3490,Santa Ana Department,region,SV,El Salvador,True,True,Polygons not found.
5,3488,San Miguel Department,region,SV,El Salvador,True,True,Polygons not found.
6,3483,Cuscatlán Department,region,SV,El Salvador,True,True,Polygons not found.
7,3491,San Vicente Department,region,SV,El Salvador,True,True,Polygons not found.
8,3487,Morazán Department,region,SV,El Salvador,True,True,Polygons not found.
9,3480,Ahuachapán Department,region,SV,El Salvador,True,True,Polygons not found.
10,3485,La Paz Department,region,SV,El Salvador,True,True,Polygons not found.
11,3484,La Libertad Department,region,SV,El Salvador,True,True,Polygons not found.
12,3492,Sonsonate Department,region,SV,El Salvador,True,True,Polygons not found.
13,3489,San Salvador Department,region,SV,El Salvador,True,True,Polygons not found.
