,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,3699,Sakarya Province,region,TR,Turkey,True,True,Polygons not found.
1,3675,Elazığ Province,region,TR,Turkey,True,True,Polygons not found.
2,3683,Istanbul Province,region,TR,Turkey,True,True,Polygons not found.
3,3695,Muş Province,region,TR,Turkey,True,True,Polygons not found.
4,3692,Manisa Province,region,TR,Turkey,True,True,Polygons not found.
5,3687,Kırklareli Province,region,TR,Turkey,True,True,Polygons not found.
6,3691,Malatya Province,region,TR,Turkey,True,True,Polygons not found.
7,3735,Yalova Province,region,TR,Turkey,True,True,Polygons not found.
8,3676,Erzincan Province,region,TR,Turkey,True,True,Polygons not found.
9,3703,Tekirdağ Province,region,TR,Turkey,True,True,Polygons not found.
10,3719,Batman Province,region,TR,Turkey,True,True,Polygons not found.
11,3658,Ağrı Province,region,TR,Turkey,True,True,Polygons not found.
12,3729,Ardahan Province,region,TR,Turkey,True,True,Polygons not found.
13,3713,Hakkâri Province,region,TR,Turkey,True,True,Polygons not found.
14,3680,Hatay Province,region,TR,Turkey,True,True,Polygons not found.
15,3696,Nevşehir Province,region,TR,Turkey,True,True,Polygons not found.
16,3701,Sinop Province,region,TR,Turkey,True,True,Polygons not found.
17,3734,Osmaniye Province,region,TR,Turkey,True,True,Polygons not found.
18,3726,Gaziantep Province,region,TR,Turkey,True,True,Polygons not found.
19,3688,Kırşehir Province,region,TR,Turkey,True,True,Polygons not found.
20,3670,Çanakkale Province,region,TR,Turkey,True,True,Polygons not found.
21,3666,Bitlis Province,region,TR,Turkey,True,True,Polygons not found.
22,4112,Mersin Province,region,TR,Turkey,True,True,Polygons not found.
23,3694,Muğla Province,region,TR,Turkey,True,True,Polygons not found.
24,4111,Mardin Province,region,TR,Turkey,True,True,Polygons not found.
25,4116,Kırıkkale Province,region,TR,Turkey,True,True,Polygons not found.
26,3716,Niğde Province,region,TR,Turkey,True,True,Polygons not found.
27,3723,Şırnak Province,region,TR,Turkey,True,True,Polygons not found.
28,3700,Samsun Province,region,TR,Turkey,True,True,Polygons not found.
29,3668,Burdur Province,region,TR,Turkey,True,True,Polygons not found.
30,4101,Bartın Province,region,TR,Turkey,True,True,Polygons not found.
31,3709,Van Province,region,TR,Turkey,True,True,Polygons not found.
32,3714,Konya Province,region,TR,Turkey,True,True,Polygons not found.
33,4110,Siirt Province,region,TR,Turkey,True,True,Polygons not found.
34,3669,Bursa Province,region,TR,Turkey,True,True,Polygons not found.
35,3706,Tunceli Province,region,TR,Turkey,True,True,Polygons not found.
36,3667,Bolu Province,region,TR,Turkey,True,True,Polygons not found.
37,3659,Amasya Province,region,TR,Turkey,True,True,Polygons not found.
38,3677,Erzurum Province,region,TR,Turkey,True,True,Polygons not found.
39,3712,Gümüşhane Province,region,TR,Turkey,True,True,Polygons not found.
40,3671,Çorum Province,region,TR,Turkey,True,True,Polygons not found.
41,3725,Çankırı Province,region,TR,Turkey,True,True,Polygons not found.
42,4117,Aksaray Province,region,TR,Turkey,True,True,Polygons not found.
43,3708,Uşak Province,region,TR,Turkey,True,True,Polygons not found.
44,3679,Giresun Province,region,TR,Turkey,True,True,Polygons not found.
45,3689,Kocaeli Province,region,TR,Turkey,True,True,Polygons not found.
