,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,4816,Socotra Governorate,region,YE,Yemen,True,True,Polygons not found.
1,4710,Ibb Governorate,region,YE,Yemen,True,True,Polygons not found.
2,4712,Raymah Governorate,region,YE,Yemen,True,True,Polygons not found.
3,4714,Shabwah Governorate,region,YE,Yemen,True,True,Polygons not found.
4,4708,Al Jawf Governorate,region,YE,Yemen,True,True,Polygons not found.
5,4036,Al Mahrah Governorate,region,YE,Yemen,True,True,Polygons not found.
6,4042,Ma'rib Governorate,region,YE,Yemen,True,True,Polygons not found.
7,4713,Sana'a Governorate,region,YE,Yemen,True,True,Polygons not found.
8,4037,Hadhramaut Governorate,region,YE,Yemen,True,True,Polygons not found.
9,4035,Abyan Governorate,region,YE,Yemen,True,True,Polygons not found.
10,4040,Al Mahwit Governorate,region,YE,Yemen,True,True,Polygons not found.
11,4706,Ad Dali' Governorate,region,YE,Yemen,True,True,Polygons not found.
12,4041,Dhamar Governorate,region,YE,Yemen,True,True,Polygons not found.
13,4039,Al Hudaydah Governorate,region,YE,Yemen,True,True,Polygons not found.
14,4705,'Amran Governorate,region,YE,Yemen,True,True,Polygons not found.
15,4709,Hajjah Governorate,region,YE,Yemen,True,True,Polygons not found.
16,4043,Saada Governorate,region,YE,Yemen,True,True,Polygons not found.
17,4711,Lahij Governorate,region,YE,Yemen,True,True,Polygons not found.
